Positive,Negative,Neutral,Compound,Sentiment_Label
0.046,0.15,0.804,0.987,Positive
0.0,0.349,0.651,0.968,Positive
0.077,0.269,0.653,0.9649,Positive
0.217,0.191,0.592,-0.8362,Negative
0.093,0.165,0.742,0.3818,Positive
0.0,0.0,1.0,0.0,Neutral
0.0,0.0,1.0,0.0,Neutral
0.087,0.183,0.73,0.8523,Positive
0.255,0.04,0.706,-0.989,Negative
0.303,0.122,0.576,-0.9885,Negative
0.0,0.42,0.58,0.4404,Positive
0.157,0.102,0.741,-0.1931,Negative
0.024,0.074,0.902,0.8848,Positive
0.092,0.23,0.677,0.9945,Positive
0.0,0.0,1.0,0.0,Neutral
0.088,0.224,0.688,0.986,Positive
0.148,0.077,0.775,-0.9323,Negative
0.038,0.106,0.855,0.9073,Positive
0.113,0.283,0.604,0.9421,Positive
0.08,0.063,0.857,-0.2919,Negative
0.245,0.09,0.666,-0.9801,Negative
0.192,0.053,0.755,-0.8702,Negative
0.24,0.116,0.644,-0.9985,Negative
0.169,0.214,0.617,0.8737,Positive
0.074,0.12,0.806,0.1618,Positive
0.0,0.217,0.783,0.3612,Positive
0.113,0.161,0.726,0.8536,Positive
0.144,0.319,0.537,0.8472,Positive
0.134,0.217,0.649,0.264,Positive
0.064,0.258,0.678,0.9984,Positive
0.567,0.0,0.433,-0.7618,Negative
0.155,0.078,0.767,-0.8202,Negative
0.162,0.141,0.698,-0.9075,Negative
0.276,0.201,0.522,-0.25,Negative
0.028,0.323,0.649,0.9686,Positive
0.049,0.116,0.835,0.9432,Positive
0.159,0.192,0.649,0.5452,Positive
0.222,0.0,0.778,-0.5319,Negative
0.072,0.191,0.737,0.8807,Positive
0.078,0.214,0.709,0.9261,Positive
0.14,0.143,0.717,0.1313,Positive
0.0,0.0,1.0,0.0,Neutral
0.107,0.043,0.851,-0.9638,Negative
0.09,0.072,0.838,-0.1531,Negative
0.204,0.025,0.771,-0.9325,Negative
0.142,0.145,0.713,-0.2853,Negative
0.058,0.257,0.685,0.9765,Positive
0.094,0.195,0.711,0.4588,Positive
